id;categoria;motor;cambio;combustivel;marca;modelo;500x12;500x24;500x36;1000x12;1000x24;1000x36;1500x12;1500x24;1500x36;2000x12;2000x24;2000x36;2500x12;2500x24;2500x36;3000x12;3000x24;3000x36
66;SUV;1.5;Autom tico;Flex;CAOA CHERYÿ;Caoa Chery Tiggo 5x TXS 1.5 Turbo;4395;3325;3090;4725;3495;3230;4980;3655;3440;5210;3890;3610;5405;4030;3805;5605;4195;3965
67;SUV;1.6;Autom tico;Flex;Citroen;C4 Cactus 1.6 THP Shine Pack AUT;2110;2145;2200;2295;2230;2275;2470;2345;2430;2560;2530;2535;2665;2605;2680;2830;2690;2755
68;SUV;1.6;Autom tico;Flex;Renault;Captur Intense 1.6 CVT;2995;2520;2425;3085;2570;2470;3205;2635;2610;3330;2810;2765;3490;2860;2900;3700;2965;2965
69;SUV;2.0;Autom tico;Flex;Land Rover;Evoque SE R-Dynamic 2.0 Si4;13360;8845;8380;13650;9000;8590;13945;9165;8860;14225;9560;9160;14515;10255;9520;15355;10360;9735
70;SUV;2.0;Autom tico;Diesel;Land Rover;Discovery Sport SE 2.0 TD4;6245;6070;6185;6835;6325;6400;7090;6470;6720;7335;6770;6940;7585;7450;7255;8355;7530;7470
71;Utilit rio;1.4;Manual;Flex;Fiat;Strada Hard Working 1.4 Flex 2p + Pack Worker;1330;1330;1355;1365;1365;1400;1420;1430;1555;1500;1570;1605;1630;1675;1730;1710;1740;1750
72;Utilit rio;1.4;Manual;Flex;Fiat;Strada Hard Working CD 1.4 Flex 3p + Pack Worker;1450;1560;1575;1525;1610;1625;1590;1665;1790;1680;1815;1845;1755;1920;1980;1840;1995;2000
73;Utilit rio;1.6;Manual;Flex;Volkswagen;Saveiro Robust 1.6 Flex;1320;1295;1290;1385;1335;1330;1445;1380;1440;1505;1510;1490;1565;1550;1595;1645;1625;1625
74;Utilit rio;1.6;Manual;Flex;Volkswagen;Saveiro Robust CD 1.6 Flex;1385;1545;1580;1470;1590;1620;1540;1640;1740;1610;1770;1790;1680;1820;1900;1770;1900;1930
75;Utilit rio;1.8;Autom tico;Flex;Fiat;Toro Freedom 1.8 16V AT6 Flex;2815;2620;2535;2920;2680;2590;3020;2790;2800;3115;2975;2970;3215;3155;3090;3340;3310;3175
76;Utilit rio;2.0;Autom tico;Diesel;Fiat;Toro Freedom 2.0 16V 4x4 Diesel AT9;3565;3100;3130;3825;3220;3235;3935;3285;3430;4055;3490;3555;4200;3555;3740;4370;3750;3845
77;Utilit rio;2.8;Manual;Diesel;Chevrolet;S10 LS CD 2.8 Diesel 4x4;3670;3275;3185;3965;3420;3315;4090;3510;3545;4260;3735;3670;4440;3845;3900;4660;4015;4060
78;Utilit rio;2.8;Autom tico;Diesel;Toyota;Hilux SR CD 2.8L Diesel 4X4 AT;6900;5050;4830;7050;5155;4915;7205;5290;5270;7390;5540;5335;7585;5650;5590;7845;5880;5770
79;Utilit rio;2.4;Manual;Diesel;Mitsubishi;L200 Triton Sport Outdoor 2.4L Diesel 4X4;5855;4310;3990;6200;4455;4135;6365;4580;4355;6520;4820;4530;6680;4915;4760;6900;5170;4890
80;Utilit rio;3.2;Autom tico;Diesel;Ford;Ranger XLT CD 3.2 Diesel 4X4 - AT;4080;3855;3875;4445;4025;4025;4595;4125;4280;4775;4365;4420;4935;4485;4670;5105;4685;4800
81;Utilit rio;2.0;Autom tico;Diesel;Volkswagen;Amarok Comfortline CD 2.0 Diesel 4x4 AT;3936;4632;5104;4048;4912;5360;4304;5072;5808;4568;5576;6032;4832;5728;6472;5120;6056;6688
82;Utilit rio;1.8;Autom tico;Flex;Chevrolet;Spin 1.8 Premier AT;2435;2190;2160;2520;2245;2215;2600;2295;2380;2690;2400;2390;2840;2620;2520;3055;2595;2585
83;Hatch;El‚trico;Autom tico;El‚trico;JAC;JAC iEV20;7445;4855;4100;7500;4880;4140;7635;4980;4250;7740;5170;4325;7775;5295;4430;7945;5415;4525
84;SUV;El‚trico;Autom tico;El‚trico;JAC;JAC iEV40;7635;5160;4640;7910;5250;4710;8160;5365;4840;8280;5500;4970;8420;5610;5085;8605;5735;5205
85;SUV;El‚trico;Autom tico;El‚trico;Nissan;Leaf ZE;9215;6335;5740;9530;6435;5805;9840;6555;5940;9990;6695;6060;10155;6770;6170;10350;6840;6260
86;Hatch;El‚trico;Autom tico;El‚trico;Renault;ZOE Intense;6820;4850;4440;7090;4935;4500;7345;5040;4675;7470;5240;4795;7605;5320;4950;7775;5410;5055
87;Sedan;1.8;Autom tico;H¡brido;Toyota;Toyota Prius 1.8L VVT-i1 16 V DOHC2;6005;4460;4025;6500;4620;4130;7300;4925;4315;7325;5050;4365;7855;5285;4515;7910;5310;4555
88;SUV;2.5;Autom tico;H¡brido;Toyota;RAV4 SX Hybrid 2.5;7935;6020;5640;8090;6090;5695;8265;6180;5950;8430;6390;6015;8745;7280;6410;9105;7300;6450
89;Sedan;1.8;Autom tico;H¡brido;Toyota;Corolla Altis Hybrid 1.8;5395;4100;3835;5520;4160;3890;5645;4240;4040;5775;4360;4095;5995;4940;4340;6255;4970;4390
